Analyze with upper bound?[n]Build multiple models?[n]What's the threshold of p-value?[0.05]Allow Early Termination?[n]xmax=inf	_xmin=26552	a=6.4152024826519	D=0.249796073730284	p=1
xmax=inf	_xmin=2939	a=3.08209703416316	D=0.0770451524733636	p=0.09
xmax=inf	_xmin=2938	a=3.08844165094068	D=0.0794422094466937	p=0.08
xmax=inf	_xmin=2934	a=3.0903121883377	D=0.0799291809597921	p=0.06
xmax=inf	_xmin=2903	a=3.05252842067391	D=0.0639443569340609	p=0.25
xmax=inf	_xmin=2900	a=3.06340369944516	D=0.067885129785639	p=0.12
xmax=inf	_xmin=2894	a=3.06977952593888	D=0.0699357375750917	p=0.08
xmax=inf	_xmin=2892	a=3.07438968403737	D=0.071516774890913	p=0.08
xmax=inf	_xmin=2887	a=3.07450992171654	D=0.0712995758188526	p=0.09
xmax=inf	_xmin=2858	a=3.03933194066957	D=0.0572920850616379	p=0.27
xmax=inf	_xmin=2844	a=3.02642148565271	D=0.0521272741959839	p=0.44
xmax=inf	_xmin=2839	a=3.0265071634112	D=0.0519677107210109	p=0.39
xmax=inf	_xmin=2826	a=3.01504919219884	D=0.0474709074788549	p=0.5
xmax=inf	_xmin=2798	a=2.98248407482289	D=0.0484303314905808	p=0.5
xmax=inf	_xmin=2786	a=2.97274961355446	D=0.0520435810112752	p=0.43
xmax=inf	_xmin=2785	a=2.98537919115049	D=0.0468415409123806	p=0.51
xmax=inf	_xmin=2784	a=2.9909723163715	D=0.0445478076063527	p=0.55
xmax=inf	_xmin=2782	a=2.9951251099188	D=0.0428206140173026	p=0.56
xmax=inf	_xmin=2780	a=2.99925393461874	D=0.0411180720085085	p=0.69
xmax=inf	_xmin=2775	a=2.99904591736076	D=0.0410569291881963	p=0.6
xmax=inf	_xmin=2744	a=2.96875060621272	D=0.0519424295489269	p=0.33
xmax=inf	_xmin=2741	a=2.97131424247347	D=0.0508402708957923	p=0.37
xmax=inf	_xmin=2735	a=2.96959940054358	D=0.0512850823744572	p=0.41
xmax=inf	_xmin=2709	a=2.93986330242237	D=0.0616367176867077	p=0.2
xmax=inf	_xmin=2702	a=2.93678167997685	D=0.0625049825012221	p=0.11
xmax=inf	_xmin=2692	a=2.92953047158779	D=0.0648005774834987	p=0.11
xmax=inf	_xmin=2683	a=2.92365874889475	D=0.066591685971497	p=0.12
xmax=inf	_xmin=2670	a=2.91230650552229	D=0.0702074756471636	p=0.12
xmax=inf	_xmin=2667	a=2.91464767197305	D=0.0691908953608584	p=0.08
xmax=inf	_xmin=2664	a=2.91696030322123	D=0.0681931875515273	p=0.11
xmax=inf	_xmin=2663	a=2.92200717758987	D=0.0663004602711042	p=0.07
xmax=inf	_xmin=2661	a=2.92565174303545	D=0.0648852901648772	p=0.11
xmax=inf	_xmin=2652	a=2.91954289302809	D=0.0666645285145664	p=0.14
xmax=inf	_xmin=2649	a=2.92174172372988	D=0.0657364480285333	p=0.1
xmax=inf	_xmin=2638	a=2.91911443786367	D=0.066159370288847	p=0.14
xmax=inf	_xmin=2636	a=2.92262604385841	D=0.0648361124627352	p=0.1
xmax=inf	_xmin=2627	a=2.91632409023166	D=0.0666028171607923	p=0.1
xmax=inf	_xmin=2614	a=2.90447560359225	D=0.0700616682019909	p=0.09
xmax=inf	_xmin=2601	a=2.89270218023849	D=0.0734421949242609	p=0.06
xmax=inf	_xmin=2595	a=2.89057950262828	D=0.0738508920804911	p=0.05
xmax=inf	_xmin=2584	a=2.88158165903917	D=0.0763158021623864	p=0.04
xmax=inf	_xmin=2582	a=2.89096098224591	D=0.0730562591853546	p=0.1
xmax=inf	_xmin=2575	a=2.88732904670406	D=0.0738923607107542	p=0.02
xmax=inf	_xmin=2574	a=2.8919693906252	D=0.0723074458766025	p=0.07
xmax=inf	_xmin=2572	a=2.89520485798256	D=0.0711434821274805	p=0.05
xmax=inf	_xmin=2563	a=2.90061875551583	D=0.0689541272370684	p=0.07
xmax=inf	_xmin=2560	a=2.90235787900032	D=0.068250507517835	p=0.06
xmax=inf	_xmin=2558	a=2.90548553631617	D=0.0671641066101933	p=0.03
xmax=inf	_xmin=2555	a=2.90717259189474	D=0.0664882927869452	p=0.08
xmax=inf	_xmin=2544	a=2.90338548532458	D=0.0671312529135726	p=0.1
xmax=inf	_xmin=2535	a=2.89648066890995	D=0.0688003571667784	p=0.12
xmax=inf	_xmin=2534	a=2.90090914189027	D=0.0673992021292883	p=0.08
xmax=inf	_xmin=2512	a=2.87565954394085	D=0.0739156129885129	p=0.06
xmax=inf	_xmin=2511	a=2.88000662479219	D=0.072548210069687	p=0.05
xmax=inf	_xmin=2503	a=2.87450589507901	D=0.0737658887813022	p=0.05
xmax=inf	_xmin=2502	a=2.87881109519396	D=0.0724287688785487	p=0.07
xmax=inf	_xmin=2495	a=2.8746498033197	D=0.0732818302503599	p=0.05
xmax=inf	_xmin=2492	a=2.87609614290454	D=0.072693963108481	p=0.1
xmax=inf	_xmin=2486	a=2.87328826289464	D=0.0731881154166389	p=0.06
xmax=inf	_xmin=2485	a=2.87751322420636	D=0.0719092016851804	p=0.03
xmax=inf	_xmin=2482	a=2.87888712216914	D=0.0713533530310601	p=0.06
xmax=inf	_xmin=2481	a=2.88308431827746	D=0.0701019197669245	p=0.03
xmax=inf	_xmin=2479	a=2.88583888371146	D=0.0692168636046066	p=0.06
xmax=inf	_xmin=2473	a=2.88284324487716	D=0.0697463906063777	p=0.1
xmax=inf	_xmin=2469	a=2.88268876754002	D=0.0695798069862348	p=0.05
xmax=inf	_xmin=2466	a=2.88394353492521	D=0.0690746606652551	p=0.09
xmax=inf	_xmin=2453	a=2.87086519485749	D=0.0719932562132607	p=0.03
xmax=inf	_xmin=2447	a=2.86780614081387	D=0.0725065191371332	p=0.04
xmax=inf	_xmin=2443	a=2.86757354223562	D=0.0723511689286454	p=0.04
xmax=inf	_xmin=2441	a=2.87017109606438	D=0.0715384828852158	p=0.1
xmax=inf	_xmin=2440	a=2.87418490124162	D=0.0704054758928786	p=0.04
xmax=inf	_xmin=2439	a=2.87818777158141	D=0.0692845805508773	p=0.07
xmax=inf	_xmin=2435	a=2.87783952680308	D=0.0691658387186644	p=0.03
xmax=inf	_xmin=2433	a=2.88036270207159	D=0.0683974593341719	p=0.04
xmax=inf	_xmin=2431	a=2.88286734349652	D=0.0676398218180915	p=0.05
xmax=inf	_xmin=2430	a=2.88681379747897	D=0.0665664303120969	p=0.08
xmax=inf	_xmin=2427	a=2.88781693472508	D=0.0661556662181021	p=0.09
xmax=inf	_xmin=2422	a=2.89660647583526	D=0.0636879030705967	p=0.07
xmax=inf	_xmin=2417	a=2.89455012102895	D=0.0639539431812643	p=0.11
xmax=inf	_xmin=2401	a=2.881568543172	D=0.0663713098238385	p=0.04
xmax=inf	_xmin=2383	a=2.86050335887977	D=0.0705994903007223	p=0.03
xmax=inf	_xmin=2380	a=2.86134946232869	D=0.0702288230742869	p=0.02
xmax=inf	_xmin=2369	a=2.85058610400373	D=0.0722450116994082	p=0.07
xmax=inf	_xmin=2354	a=2.83417407460483	D=0.0753762089255079	p=0.02
xmax=inf	_xmin=2343	a=2.82359716936659	D=0.0772899975404839	p=0.06
xmax=inf	_xmin=2340	a=2.82438322925911	D=0.0769220907977461	p=0.02
xmax=inf	_xmin=2332	a=2.82807245272319	D=0.0755857697151752	p=0.02
xmax=inf	_xmin=2331	a=2.84664996318396	D=0.0712373865296093	p=0.05
xmax=inf	_xmin=2329	a=2.84872139730479	D=0.0706567393126965	p=0.05
xmax=inf	_xmin=2326	a=2.84930831912139	D=0.0703582826567999	p=0.06
